File Name,Date Modified,Size,Type,ArXiv Link
B 2407.12920v1.pdf,"Oct 27, 2024 at 9:21PM",2.7 MB,PDF Document,https://arxiv.org/abs/2407.12920
B 2407.18246v1.pdf,"Oct 27, 2024 at 9:30PM",3.2 MB,PDF Document,https://arxiv.org/abs/2407.18246
B 2408.05240v1.pdf,"Oct 27, 2024 at 9:44PM",2 MB,PDF Document,https://arxiv.org/abs/2408.05240
B 2408.10166v1.pdf,"Oct 27, 2024 at 9:45PM",1 MB,PDF Document,https://arxiv.org/abs/2408.10166
B 2408.11774v1.pdf,"Oct 27, 2024 at 9:45PM",1.5 MB,PDF Document,https://arxiv.org/abs/2408.11774
B 2403.04316v2.pdf,"Nov 11, 2024 at 8:27PM",793 KB,PDF Document,https://arxiv.org/abs/2403.04316
B 2403.05626v2 (1).pdf,"Nov 11, 2024 at 8:33 PM",13.6 MB,PDF Document,https://arxiv.org/abs/2403.05626
B 2403.05626v2.pdf,"Nov 11, 2024 at 8:35 PM",1.2 MB,PDF Document,https://arxiv.org/abs/2403.05626
B 2403.09089v3.pdf,"Nov 11, 2024 at 8:39 PM",1.1 MB,PDF Document,https://arxiv.org/abs/2403.09089
B 2403.09816v1.pdf,"Nov 11, 2024 at 9:26PM",10.1 MB,PDF Document,https://arxiv.org/abs/2403.09816
B 2403.15126v1.pdf,"Nov 11, 2024 at 8:50PM",631 KB,PDF Document,https://arxiv.org/abs/2403.15126
B 2403.20164v1.pdf,"Nov 11, 2024 at 8:53PM",788 KB,PDF Document,https://arxiv.org/abs/2403.20164
B 2404.07075v2.pdf,"Nov 11, 2024 at 8:54PM",716 KB,PDF Document,https://arxiv.org/abs/2404.07075
B 2404.08375v3.pdf,"Nov 11, 2024 at 8:57PM",750 KB,PDF Document,https://arxiv.org/abs/2404.08375
B 2405.02960v2.pdf,"Nov 11, 2024 at 9:28PM",1 MB,PDF Document,https://arxiv.org/abs/2405.02960
B 2405.06603v1.pdf,"Nov 11, 2024 at 9:05PM",1.9 MB,PDF Document,https://arxiv.org/abs/2405.06603
B 2405.09599v3.pdf,"Nov 11, 2024 at 9:30 PM",12.9 MB,PDF Document,https://arxiv.org/abs/2405.09599
B 2405.09620v1.pdf,"Nov 11, 2024 at 9:17PM",5.5 MB,PDF Document,https://arxiv.org/abs/2405.09620
B 2405.10937v2.pdf,"Nov 11, 2024 at 10:22 PM",4.8 MB,PDF Document,https://arxiv.org/abs/2405.10937
B 2405.11755v1.pdf,"Nov 11, 2024 at 9:48 PM",1.1 MB,PDF Document,https://arxiv.org/abs/2405.11755
B 2406.02359v1.pdf,"Nov 11, 2024 at 9:54PM",848 KB,PDF Document,https://arxiv.org/abs/2406.02359
B 2406.04957v1.pdf,"Oct 27, 2024 at 6:45PM",2.3 MB,PDF Document,https://arxiv.org/abs/2406.04957
B 2406.05081Vv1.pdf,"Oct 27, 2024 at 7:10PM",1.5 MB,PDF Document,https://arxiv.org/abs/2406.05081V
B 2406.10048v2.pdf,"Oct 27, 2024 at 7:07PM",1.5 MB,PDF Document,https://arxiv.org/abs/2406.10048
B 2406.17053v2.pdf,"Oct 27, 2024 at 7:12PM",776 KB,PDF Document,https://arxiv.org/abs/2406.17053
B 2407.02714v2.pdf,"Oct 27, 2024 at 7:12PM",717 KB,PDF Document,https://arxiv.org/abs/2407.02714
B 2407.05686v1.pdf,"Oct 27, 2024 at 7:13PM",951 KB,PDF Document,https://arxiv.org/abs/2407.05686
B 2407.07319v2.pdf,"Oct 27, 2024 at 6:57PM",4.4 MB,PDF Document,https://arxiv.org/abs/2407.07319
B 2407.07956v2.pdf,"Oct 27, 2024 at 7:15PM",555 KB,PDF Document,https://arxiv.org/abs/2407.07956
B 2407.10071v1.pdf,"Oct 27, 2024 at 7:57PM",453 KB,PDF Document,https://arxiv.org/abs/2407.10071
B 2407.11263v1.pdf,"Oct 27, 2024 at 7:59PM",1.8 MB,PDF Document,https://arxiv.org/abs/2407.11263
B 2407.12920v1.pdf,"Oct 27, 2024 at 8:07PM",369 KB,PDF Document,https://arxiv.org/abs/2407.12920
B 2407.18246v1.pdf,"Oct 27, 2024 at 8:09PM",3.2 MB,PDF Document,https://arxiv.org/abs/2407.18246
B 2408.05240v1.pdf,"Oct 27, 2024 at 9:00PM",5.7 MB,PDF Document,https://arxiv.org/abs/2408.05240
B 2408.10166v1.pdf,"Oct 27, 2024 at 9:02PM",3.1 MB,PDF Document,https://arxiv.org/abs/2408.10166
B 2408.11774v1.pdf,"Oct 27, 2024 at 8:22PM",726 KB,PDF Document,https://arxiv.org/abs/2408.11774
B 2403.04316v2.pdf,"Oct 27, 2024 at 8:25PM",2.7 MB,PDF Document,https://arxiv.org/abs/2403.04316
B 2403.05626v2 (1).pdf,"Oct 27, 2024 at 8:27PM",408 KB,PDF Document,https://arxiv.org/abs/2403.05626
B 2403.05626v2.pdf,"Oct 27, 2024 at 9:15PM",5 MB,PDF Document,https://arxiv.org/abs/2403.05626
B 2403.09089v3.pdf,"Oct 27, 2024 at 9:20PM",2.3 MB,PDF Document,https://arxiv.org/abs/2403.09089
B 2403.09816v1.pdf,"Oct 27, 2024 at 9:21PM",2.7 MB,PDF Document,https://arxiv.org/abs/2403.09816
B 2403.15126v1.pdf,"Oct 27, 2024 at 9:30PM",3.2 MB,PDF Document,https://arxiv.org/abs/2403.15126
B 2403.20164v1.pdf,"Oct 27, 2024 at 9:44PM",2 MB,PDF Document,https://arxiv.org/abs/2403.20164
B 2404.07075v2.pdf,"Oct 27, 2024 at 9:45PM",1 MB,PDF Document,https://arxiv.org/abs/2404.07075
B 2404.08375v3.pdf,"Oct 27, 2024 at 9:45PM",1.5 MB,PDF Document,https://arxiv.org/abs/2404.08375
B 2405.02960v2.pdf,"Nov 11, 2024 at 8:27PM",793 KB,PDF Document,https://arxiv.org/abs/2405.02960
B 2405.06603v1.pdf,"Nov 11, 2024 at 8:33 PM",13.6 MB,PDF Document,https://arxiv.org/abs/2405.06603
B 2405.09599v3.pdf,"Nov 11, 2024 at 8:35 PM",1.2 MB,PDF Document,https://arxiv.org/abs/2405.09599
B 2405.09620v1.pdf,"Nov 11, 2024 at 8:39 PM",1.1 MB,PDF Document,https://arxiv.org/abs/2405.09620
B 2405.10937v2.pdf,"Nov 11, 2024 at 9:26PM",10.1 MB,PDF Document,https://arxiv.org/abs/2405.10937
B 2405.11755v1.pdf,"Nov 11, 2024 at 8:50PM",631 KB,PDF Document,https://arxiv.org/abs/2405.11755
B 2406.02359v1.pdf,"Nov 11, 2024 at 8:53PM",788 KB,PDF Document,https://arxiv.org/abs/2406.02359
B 2406.04957v1.pdf,"Nov 11, 2024 at 8:54PM",716 KB,PDF Document,https://arxiv.org/abs/2406.04957
B 2406.05081Vv1.pdf,"Nov 11, 2024 at 8:57PM",750 KB,PDF Document,https://arxiv.org/abs/2406.05081V
B 2406.10048v2.pdf,"Nov 11, 2024 at 9:28PM",1 MB,PDF Document,https://arxiv.org/abs/2406.10048
B 2406.17053v2.pdf,"Nov 11, 2024 at 9:05PM",1.9 MB,PDF Document,https://arxiv.org/abs/2406.17053
B 2407.02714v2.pdf,"Nov 11, 2024 at 9:30 PM",12.9 MB,PDF Document,https://arxiv.org/abs/2407.02714
B 2407.05686v1.pdf,"Nov 11, 2024 at 9:17PM",5.5 MB,PDF Document,https://arxiv.org/abs/2407.05686
B 2407.07319v2.pdf,"Nov 11, 2024 at 10:22 PM",4.8 MB,PDF Document,https://arxiv.org/abs/2407.07319
B 2407.07956v2.pdf,"Nov 11, 2024 at 9:48 PM",1.1 MB,PDF Document,https://arxiv.org/abs/2407.07956
B 2407.10071v1.pdf,"Nov 11, 2024 at 9:54PM",848 KB,PDF Document,https://arxiv.org/abs/2407.10071
B 2407.11263v1.pdf,"Oct 27, 2024 at 6:45PM",2.3 MB,PDF Document,https://arxiv.org/abs/2407.11263
B 2407.12920v1.pdf,"Oct 27, 2024 at 7:10PM",1.5 MB,PDF Document,https://arxiv.org/abs/2407.12920
B 2407.18246v1.pdf,"Oct 27, 2024 at 7:07PM",1.5 MB,PDF Document,https://arxiv.org/abs/2407.18246
B 2408.05240v1.pdf,"Oct 27, 2024 at 7:12PM",776 KB,PDF Document,https://arxiv.org/abs/2408.05240
B 2408.10166v1.pdf,"Oct 27, 2024 at 7:12PM",717 KB,PDF Document,https://arxiv.org/abs/2408.10166
B 2408.11774v1.pdf,"Oct 27, 2024 at 7:13PM",951 KB,PDF Document,https://arxiv.org/abs/2408.11774
